STATE CODE,DISTRICT CODE,INDIA/STATE/UT/DISTRICT,TRU,P_Persons ,P_Males,P_Females,L_Persons,L_Males,L_Females,PL_Persons,PL_Males,PL_Females
29,28,Chikkballapura,Rural,975188,496413,478775,587507,340624,246883,60,69,52
29,28,Chikkballapura,Urban,279189,141091,138098,204185,108667,95518,73,77,69
29,29,Bangalore Rural,Total,987257,507514,479743,693068,388833,304235,70,77,63
29,29,Bangalore Rural,Rural,719564,370039,349525,487848,278211,209637,68,75,60
29,29,Bangalore Rural,Urban,267693,137475,130218,205220,110622,94598,77,80,73
29,30,Ramanagara,Total,1082739,548060,534679,678983,381704,297279,63,70,56
29,30,Ramanagara,Rural,815386,412631,402755,484253,278464,205789,59,67,51
29,30,Ramanagara,Urban,267353,135429,131924,194730,103240,91490,73,76,69
30,0,GOA,Total,1457723,740711,717012,1152117,620026,532091,79,84,74
30,0,GOA,Rural,551414,276121,275293,420523,228295,192228,76,83,70
30,0,GOA,Urban,906309,464590,441719,731594,391731,339863,81,84,77
30,1,North Goa,Total,817761,417536,400225,659812,354660,305152,81,85,76
30,1,North Goa,Rural,325041,164397,160644,256195,138588,117607,79,84,73
30,1,North Goa,Urban,492720,253139,239581,403617,216072,187545,82,85,78
30,2,South Goa,Total,639962,323175,316787,492305,265366,226939,77,82,72
30,2,South Goa,Rural,226373,111724,114649,164328,89707,74621,73,80,65
30,2,South Goa,Urban,413589,211451,202138,327977,175659,152318,79,83,75
31,0,LAKSHADWEEP,Total,64429,33106,31323,52914,28249,24665,82,85,79
31,0,LAKSHADWEEP,Rural,14121,7228,6893,11352,5979,5373,80,83,78
31,0,LAKSHADWEEP,Urban,50308,25878,24430,41562,22270,19292,83,86,79
31,1,Lakshadweep,Total,64429,33106,31323,52914,28249,24665,82,85,79
31,1,Lakshadweep,Rural,14121,7228,6893,11352,5979,5373,80,83,78
31,1,Lakshadweep,Urban,50308,25878,24430,41562,22270,19292,83,86,79
32,0,KERALA,Total,33387677,16021290,17366387,28234227,13755888,14478339,85,86,83
32,0,KERALA,Rural,17455506,8403706,9051800,14595727,7158427,7437300,84,85,82
32,0,KERALA,Urban,15932171,7617584,8314587,13638500,6597461,7041039,86,87,85
